========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 6 bound to :50006. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 3004 | NetHead: 3003 | Confirmed: 2996 | Missing: 8 | StateHash: 0x414F1545
[HEARTBEAT] SimTick: 3064 | NetHead: 3063 | Confirmed: 3056 | Missing: 8 | StateHash: 0xE59DEA4E
[HEARTBEAT] SimTick: 3124 | NetHead: 3123 | Confirmed: 3116 | Missing: 8 | StateHash: 0xAE016375
[HEARTBEAT] SimTick: 3184 | NetHead: 3183 | Confirmed: 3176 | Missing: 8 | StateHash: 0x501C4296
[HEARTBEAT] SimTick: 3244 | NetHead: 3243 | Confirmed: 3236 | Missing: 8 | StateHash: 0xCC26F905
[HEARTBEAT] SimTick: 3304 | NetHead: 3303 | Confirmed: 3296 | Missing: 8 | StateHash: 0xA4B661F6
[HEARTBEAT] SimTick: 3364 | NetHead: 3363 | Confirmed: 3356 | Missing: 8 | StateHash: 0x895EF155
[HEARTBEAT] SimTick: 3424 | NetHead: 3423 | Confirmed: 3416 | Missing: 8 | StateHash: 0x889D66F6
[HEARTBEAT] SimTick: 3484 | NetHead: 3483 | Confirmed: 3476 | Missing: 8 | StateHash: 0x4AB95A85
[HEARTBEAT] SimTick: 3544 | NetHead: 3543 | Confirmed: 3536 | Missing: 8 | StateHash: 0x176E0426
[HEARTBEAT] SimTick: 3604 | NetHead: 3603 | Confirmed: 3596 | Missing: 8 | StateHash: 0xF7F98015
[HEARTBEAT] SimTick: 3664 | NetHead: 3663 | Confirmed: 3656 | Missing: 8 | StateHash: 0xA4D59DF6
[HEARTBEAT] SimTick: 3724 | NetHead: 3723 | Confirmed: 3716 | Missing: 8 | StateHash: 0x7D595285
[HEARTBEAT] SimTick: 3784 | NetHead: 3783 | Confirmed: 3776 | Missing: 8 | StateHash: 0xFB252E4E
[HEARTBEAT] SimTick: 3845 | NetHead: 3844 | Confirmed: 3837 | Missing: 8 | StateHash: 0x242EC745
[HEARTBEAT] SimTick: 3905 | NetHead: 3904 | Confirmed: 3897 | Missing: 8 | StateHash: 0x8EA02F3E
[HEARTBEAT] SimTick: 3965 | NetHead: 3964 | Confirmed: 3957 | Missing: 8 | StateHash: 0xC7B49B05
[HEARTBEAT] SimTick: 4025 | NetHead: 4024 | Confirmed: 4017 | Missing: 8 | StateHash: 0x24F6DFF6
