========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 3 bound to :50003. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 3003 | NetHead: 3002 | Confirmed: 2857 | Missing: 146 | StateHash: 0xA020060C
[HEARTBEAT] SimTick: 3063 | NetHead: 3062 | Confirmed: 2923 | Missing: 140 | StateHash: 0x1A4B707B
[HEARTBEAT] SimTick: 3123 | NetHead: 3122 | Confirmed: 2984 | Missing: 139 | StateHash: 0x3043F2A3
[HEARTBEAT] SimTick: 3183 | NetHead: 3182 | Confirmed: 3045 | Missing: 138 | StateHash: 0x79F6AB0B
[HEARTBEAT] SimTick: 3243 | NetHead: 3242 | Confirmed: 3102 | Missing: 141 | StateHash: 0x44A52C63
[HEARTBEAT] SimTick: 3303 | NetHead: 3302 | Confirmed: 3166 | Missing: 137 | StateHash: 0x4C2F4C83
[HEARTBEAT] SimTick: 3363 | NetHead: 3362 | Confirmed: 3220 | Missing: 143 | StateHash: 0xBD758713
[HEARTBEAT] SimTick: 3423 | NetHead: 3422 | Confirmed: 3276 | Missing: 147 | StateHash: 0x89FA4093
[HEARTBEAT] SimTick: 3484 | NetHead: 3483 | Confirmed: 3342 | Missing: 142 | StateHash: 0xFEF85943
[HEARTBEAT] SimTick: 3544 | NetHead: 3543 | Confirmed: 3405 | Missing: 139 | StateHash: 0x5CFE32B3
[HEARTBEAT] SimTick: 3604 | NetHead: 3603 | Confirmed: 3464 | Missing: 140 | StateHash: 0xE5908633
[HEARTBEAT] SimTick: 3664 | NetHead: 3663 | Confirmed: 3523 | Missing: 141 | StateHash: 0x832C8AA3
[HEARTBEAT] SimTick: 3724 | NetHead: 3723 | Confirmed: 3584 | Missing: 140 | StateHash: 0x3143F803
[HEARTBEAT] SimTick: 3784 | NetHead: 3783 | Confirmed: 3643 | Missing: 141 | StateHash: 0x217E560B
[HEARTBEAT] SimTick: 3844 | NetHead: 3843 | Confirmed: 3695 | Missing: 149 | StateHash: 0xEBC13623
[HEARTBEAT] SimTick: 3904 | NetHead: 3903 | Confirmed: 3757 | Missing: 147 | StateHash: 0x47442006
[HEARTBEAT] SimTick: 3964 | NetHead: 3963 | Confirmed: 3825 | Missing: 139 | StateHash: 0xA9AC37A3
[HEARTBEAT] SimTick: 4024 | NetHead: 4023 | Confirmed: 3883 | Missing: 141 | StateHash: 0xBE4821AB
[HEARTBEAT] SimTick: 4084 | NetHead: 4083 | Confirmed: 3941 | Missing: 143 | StateHash: 0x6FE54F7C
[HEARTBEAT] SimTick: 4144 | NetHead: 4143 | Confirmed: 4004 | Missing: 140 | StateHash: 0xD0D6297A
